index,Member ID,Member first name,Member last name,Transfer date,Amount,Reference number,Partner code
1,user1_m_id,John,Doe,20240808,10000,7be916198f31494ea110b276239397b8,NATIONAL_BANKING
2,user14_m_id,Leo,White,20240808,10000,32a38ad2e986406caebd2fa15e1cfe48,KINGSMAN_BANK
3,user21_m_id,Sam,Perez,20240808,10000,e8212771fffa4b6b90a91f78e27a6d9f,NATIONAL_BANKING
4,user1_m_id,John,Doe,20240808,10000,320cd01e1b884d52b6aedbd7d75c389d,NATIONAL_BANKING
5,user14_m_id,Leo,White,20240808,10000,b37af4a4d16f4e489263edbf61fbd0b1,KINGSMAN_BANK
6,user21_m_id,Sam,Perez,20240808,10000,e155f9445366408b9d3fae2a6e3876d2,NATIONAL_BANKING
7,user1_m_id,John,Doe,20240808,10000,3750689b0d374b48ab7984a5ac9fcddc,NATIONAL_BANKING
8,user14_m_id,Leo,White,20240808,10000,bf6b54e96d7b43e68b6726e78c6c90e1,KINGSMAN_BANK
9,user21_m_id,Sam,Perez,20240808,10000,b74afa81f46f4c098b0e68fd437b43ed,NATIONAL_BANKING
10,user1_m_id,John,Doe,20240808,10000,9e25bed87dee4f4685cf3cef99b09887,NATIONAL_BANKING
11,user14_m_id,Leo,White,20240808,10000,1370781ec15d4b93b9c9619c03d8c14e,KINGSMAN_BANK
12,user21_m_id,Sam,Perez,20240808,10000,3cf3af804b234fceab3edc40d50a0734,NATIONAL_BANKING
13,user1_m_id,John,Doe,20240808,10000,67d70038e6344863a6b0e2c68fbb36ca,NATIONAL_BANKING
14,user14_m_id,Leo,White,20240808,10000,8d94d83f8eaf4f68ae4a702d31692234,KINGSMAN_BANK
15,user21_m_id,Sam,Perez,20240808,10000,d979761880d943faa9e63ca38b16783b,NATIONAL_BANKING
16,user1_m_id,John,Doe,20240808,10000,8dedcf4f6be845709691aa7f8809fbbb,NATIONAL_BANKING
17,user14_m_id,Leo,White,20240808,10000,c858144ae9d04a58a6ea76df0254c536,KINGSMAN_BANK
18,user21_m_id,Sam,Perez,20240808,10000,2c89da86847d48c5a0f46db4e27c6319,NATIONAL_BANKING
19,user1_m_id,John,Doe,20240808,10000,1ec1da74ca9b4e8894aaafb6b927bb7c,NATIONAL_BANKING
20,user14_m_id,Leo,White,20240808,10000,7a6d2de7622845c3a031ec415b357804,KINGSMAN_BANK
21,user21_m_id,Sam,Perez,20240808,10000,60f6d90e22c846228218284c3a0fdada,NATIONAL_BANKING
