index,Member ID,Member first name,Member last name,Transfer date,Amount,Reference number,Partner code
1,user2_m_id,Jane,Smith,20240808,10000,004ab6200d024bd1afa8e737480f2b27,CITY_BANK
2,user6_m_id,David,Williams,20240808,10000,ef69daea20b04a01ad5e1fb82bd91ce9,NATIONAL_BANKING
3,user8_m_id,Frank,Garcia,20240808,10000,57bc072b47e24ae1acf4711df833eeb8,ROYAL_FINANCE
4,user15_m_id,Mia,Harris,20240808,10000,34d2723757594578b487731ccc086225,GLOBAL_TRUST
5,user22_m_id,Tina,Roberts,20240808,10000,a2e56304a7eb4583828d8dd26dfaeeeb,CITY_BANK
6,user26_m_id,Xander,Scott,20240808,10000,24c9076d9b4a430888e17e78797d4a8d,NATIONAL_BANKING
7,user28_m_id,Zane,Adams,20240808,10000,ad6a10aeb2ba4c48827384b74098e40d,ROYAL_FINANCE
8,user2_m_id,Jane,Smith,20240808,10000,ee92e7eb40304e6a997b08857d4252ce,CITY_BANK
9,user6_m_id,David,Williams,20240808,10000,9b4f5b9be2cb4987a6c152635b433998,NATIONAL_BANKING
10,user8_m_id,Frank,Garcia,20240808,10000,3468e51cf1be47b889ea7250db54c808,ROYAL_FINANCE
11,user15_m_id,Mia,Harris,20240808,10000,d7cfeb8abe794cbfb1c3e5b2e47ad521,GLOBAL_TRUST
12,user22_m_id,Tina,Roberts,20240808,10000,eb81e1fb29ae4e5b880f87abaf7c989c,CITY_BANK
13,user26_m_id,Xander,Scott,20240808,10000,62c6b2aceff0490498eec94c67594e7a,NATIONAL_BANKING
14,user28_m_id,Zane,Adams,20240808,10000,8720f2ac25cc420381d7fe297ef3ad38,ROYAL_FINANCE
15,user2_m_id,Jane,Smith,20240808,10000,729854b78ed34bec8d803f4fcfd4536f,CITY_BANK
16,user6_m_id,David,Williams,20240808,10000,3c0160dc56f54cafa1ecb7b171d9783b,NATIONAL_BANKING
17,user8_m_id,Frank,Garcia,20240808,10000,8713fba011af41babd9ebc63f239e889,ROYAL_FINANCE
18,user15_m_id,Mia,Harris,20240808,10000,5c316636e50f48ceaee703cd84ef8748,GLOBAL_TRUST
19,user22_m_id,Tina,Roberts,20240808,10000,cbc1983f9e8844118d6410a6e3cd242c,CITY_BANK
20,user26_m_id,Xander,Scott,20240808,10000,509d2ec4d93f443ba7e5bff0de07aae7,NATIONAL_BANKING
21,user28_m_id,Zane,Adams,20240808,10000,8b2ee29daf154c3c88325e0f8fa63439,ROYAL_FINANCE
22,user2_m_id,Jane,Smith,20240808,10000,4dcf31545f8d45ba8b9f6afc1359de4e,CITY_BANK
23,user6_m_id,David,Williams,20240808,10000,13c428897cbe4643b8f6eb9b3ed439e7,NATIONAL_BANKING
24,user8_m_id,Frank,Garcia,20240808,10000,ddc514fd020942fa80a04c2847d2ec60,ROYAL_FINANCE
25,user15_m_id,Mia,Harris,20240808,10000,e3bb2944cf2247cd87c8a0e78e10f9a9,GLOBAL_TRUST
26,user22_m_id,Tina,Roberts,20240808,10000,79c13cc60934455b85505f2455bd2994,CITY_BANK
27,user26_m_id,Xander,Scott,20240808,10000,2a6409ac79c246d6bd50990171054a6a,NATIONAL_BANKING
28,user28_m_id,Zane,Adams,20240808,10000,7003dfff679749bbb854fd6a264ef861,ROYAL_FINANCE
29,user2_m_id,Jane,Smith,20240808,10000,7a0fd59253c2460e9a066ccb4dd94f8d,CITY_BANK
30,user6_m_id,David,Williams,20240808,10000,2f553dae655b46728ffa92e9b74153fd,NATIONAL_BANKING
31,user8_m_id,Frank,Garcia,20240808,10000,6f9a8bc42bef4e328b0d3ebfd79ff726,ROYAL_FINANCE
32,user15_m_id,Mia,Harris,20240808,10000,8db2538a2e524bcd9ff416d0b68c3c2c,GLOBAL_TRUST
33,user22_m_id,Tina,Roberts,20240808,10000,72ee38defb344ec1b70d04aebf1fab16,CITY_BANK
34,user26_m_id,Xander,Scott,20240808,10000,5276bb12833b4504b703e7172fbc17a1,NATIONAL_BANKING
35,user28_m_id,Zane,Adams,20240808,10000,7e919f86e4464fea9aeab1505451c9d7,ROYAL_FINANCE
36,user2_m_id,Jane,Smith,20240808,10000,7c4e51061cf548f8af97cb69d7538c0b,CITY_BANK
37,user6_m_id,David,Williams,20240808,10000,6551993195034d23a39aa952cb4f96c8,NATIONAL_BANKING
38,user8_m_id,Frank,Garcia,20240808,10000,ebe5934f78c54603a44cdcd70987a2de,ROYAL_FINANCE
39,user15_m_id,Mia,Harris,20240808,10000,9526f4d3a29740ecb0a88740423d436f,GLOBAL_TRUST
40,user22_m_id,Tina,Roberts,20240808,10000,6c6cd3a0dd6d4221ae794ab170a2610d,CITY_BANK
41,user26_m_id,Xander,Scott,20240808,10000,3bbeda0c05c84ab2afe8ee35723fa1fd,NATIONAL_BANKING
42,user28_m_id,Zane,Adams,20240808,10000,09eb79dad27046029c7c60f354f32a17,ROYAL_FINANCE
43,user2_m_id,Jane,Smith,20240808,10000,24ab04a871ad44f19247a4bb0c6e44ad,CITY_BANK
44,user6_m_id,David,Williams,20240808,10000,5ee8630020034324a89bdc7ad536df8b,NATIONAL_BANKING
45,user8_m_id,Frank,Garcia,20240808,10000,70a67c8d5b904622bc54b394294cb7a2,ROYAL_FINANCE
46,user15_m_id,Mia,Harris,20240808,10000,1c277e72f0a148bdbccd44e0a1067a4e,GLOBAL_TRUST
47,user22_m_id,Tina,Roberts,20240808,10000,55ddd9d03b494883af5309b958789968,CITY_BANK
48,user26_m_id,Xander,Scott,20240808,10000,29efaaa65cb149b5b670b82de09b5a9c,NATIONAL_BANKING
49,user28_m_id,Zane,Adams,20240808,10000,4625470e2cf2468a967997feafbfa6e3,ROYAL_FINANCE
